System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory 'E:\Local Projects\Django web host\media\websites\Resham_gghgherg\UEBS School\static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
[18/Sep/2025 16:26:10] "GET / HTTP/1.1" 200 25564
[18/Sep/2025 16:26:10] "GET /static/image/hero1.jpg HTTP/1.1" 200 498832
[18/Sep/2025 16:26:10] "GET /static/css/style.css HTTP/1.1" 200 18781
[18/Sep/2025 16:26:10] "GET /static/image/hero2.jpg HTTP/1.1" 200 477369
[18/Sep/2025 16:26:10] "GET /static/image/hero3.jpg HTTP/1.1" 200 1858589
[18/Sep/2025 16:26:10] "GET /static/js/main.js HTTP/1.1" 200 21425
Not Found: /favicon.ico
[18/Sep/2025 16:26:11] "GET /favicon.ico HTTP/1.1" 404 24064
[18/Sep/2025 16:27:33] "GET / HTTP/1.1" 200 25564
[18/Sep/2025 16:27:33] "GET /static/css/style.css HTTP/1.1" 304 0
[18/Sep/2025 16:27:33] "GET /static/image/hero1.jpg HTTP/1.1" 304 0
[18/Sep/2025 16:27:33] "GET /static/image/hero2.jpg HTTP/1.1" 304 0
[18/Sep/2025 16:27:33] "GET /static/image/hero3.jpg HTTP/1.1" 304 0
[18/Sep/2025 16:27:33] "GET /static/js/main.js HTTP/1.1" 304 0
[18/Sep/2025 16:27:38] "GET /student-portal/ HTTP/1.1" 200 20417
